	Event_Type	Count	Sample_sentence
0	Justice:Appeal	19	وجاء ذلك بعدما تردد ان المصرف المركزي الاوروبي يتدخل في الاسواق دعماً لعملته في خطوة حملت البعض على التخلي عن الدولار تحقيقاً للارباح عليه, ولا سيما بعدما امتنعت السلطات النقدية الاوروبية عن التعليق على هذه الانباء, في وقت قرر المرشح الديموقراطي آل غور الطعن بنتائج الانتخابات الرئاسية الاميركية امام المحكمة الفيديرالية العليا في واشنطن, في خطوة من شأنها اطالة امد الغموض وعدم الاستقرار السياسي الداخلي في الولايات المتحدة فترة اخرى.
1	Justice:Sentence	51	وقد استند بوش في دعواه الى ان قرار المحكمة العليا في فلوريدا السماح باستمرار الفرز اليدوي حتى 26 تشرين الثاني, يخالف المادة 11 من الدستور التي تقضي باختيار الناخبين الكبار من كل ولاية ,بالطريقة التي تقررها الهيئة الاشتراعية, ,كونغرس الولاية,.
2	Movement:Transport	392	مانيلا 12-18 (اف ب)- اعلنت السلطات الفيليبينية اليوم الاثنين رفضها النداء الذي وجهه اليها الرهينة الاميركي المحتجز منذ اربعة اشهر لدى متمردين اسلامييين في جنوب البلاد، للتفاوض مع محتجزيه.
3	Transaction:Transfer-Money	42	والاميركي رهينة مع مواطن فيليبيني لدى جماعة ابو سياف التي احتجزت 21 شخصا، عشرة منهم من الرعايا الغربيين، في نيسان/ابريل قبل ان تفرج عنهم في مقابل كفالة.
4	Conflict:Attack	455	"واكدت الوزارة في بيان ""لن تجرى مفاوضات اخرى مع جماعة ابو سياف بشأن شيللينغ واولاه"" وهو اسم الرهينة الفيليبيني مضيفة ان العمليات العسكرية ضد المتمردين التي انطلقت في ايلول/سبتمبر ستتواصل."
5	Personnel:End-Position	53	وافق البرلمان الصربي على تشكيل حكومة انتقالية بموجب اتفاق تم توقيعه في السادس عشر من شهر أكتوبر الحالي بين الإصلاحيين بزعامة الرئيس اليوغوسلافي فويسلاف كوستنيتشا والاشتراكيين بزعامة الرئيس السابق سلوبدان ميلوسفيتش وسوف تستمر الحكومة الانتقالية في أداء مهمتها حتى موعد إجراء الانتخابات التشريعية المزمع إجراؤها في الثالث والعشرين من شهر ديسمبر القادم ومن جهته قرر الحزب الرادكيميلى القومي المتشدد بزعامة فيوسلاف عدم المشاركة في الحكومة وامتنع عن التصويب منددا بالانتفاضة الشعبية التي وقعت في البلاد في الخامس من أكتوبر الحالي معتبرا أن ما حدث كان انقلابا
6	Personnel:Elect	37	وافق البرلمان الصربي على تشكيل حكومة انتقالية بموجب اتفاق تم توقيعه في السادس عشر من شهر أكتوبر الحالي بين الإصلاحيين بزعامة الرئيس اليوغوسلافي فويسلاف كوستنيتشا والاشتراكيين بزعامة الرئيس السابق سلوبدان ميلوسفيتش وسوف تستمر الحكومة الانتقالية في أداء مهمتها حتى موعد إجراء الانتخابات التشريعية المزمع إجراؤها في الثالث والعشرين من شهر ديسمبر القادم ومن جهته قرر الحزب الرادكيميلى القومي المتشدد بزعامة فيوسلاف عدم المشاركة في الحكومة وامتنع عن التصويب منددا بالانتفاضة الشعبية التي وقعت في البلاد في الخامس من أكتوبر الحالي معتبرا أن ما حدث كان انقلابا
7	Business:Start-Org	9	وافق البرلمان الصربي على تشكيل حكومة انتقالية بموجب اتفاق تم توقيعه في السادس عشر من شهر أكتوبر الحالي بين الإصلاحيين بزعامة الرئيس اليوغوسلافي فويسلاف كوستنيتشا والاشتراكيين بزعامة الرئيس السابق سلوبدان ميلوسفيتش وسوف تستمر الحكومة الانتقالية في أداء مهمتها حتى موعد إجراء الانتخابات التشريعية المزمع إجراؤها في الثالث والعشرين من شهر ديسمبر القادم ومن جهته قرر الحزب الرادكيميلى القومي المتشدد بزعامة فيوسلاف عدم المشاركة في الحكومة وامتنع عن التصويب منددا بالانتفاضة الشعبية التي وقعت في البلاد في الخامس من أكتوبر الحالي معتبرا أن ما حدث كان انقلابا
8	Life:Die	213	غزة 12-8 (اف ب)- اعلن مصدر طبي فلسطيني اليوم الجمعة ان فتى فلسطينيا من مدينة رفح جنوب قطاع غزة دخل في حالة موت سريري متأثرا بجروح اصيب بها الثلاثاء الماضي برصاصة في راسه اطلاقها الجيش الاسرائيلي بالقرب من الحدود الفلسطينية المصرية.
9	Life:Injure	121	غزة 12-8 (اف ب)- اعلن مصدر طبي فلسطيني اليوم الجمعة ان فتى فلسطينيا من مدينة رفح جنوب قطاع غزة دخل في حالة موت سريري متأثرا بجروح اصيب بها الثلاثاء الماضي برصاصة في راسه اطلاقها الجيش الاسرائيلي بالقرب من الحدود الفلسطينية المصرية.
10	Justice:Trial-Hearing	61	طهران 12-25 (ا ف ب)- استؤنفت صباح اليوم الاثنين في جلسة مغلقة لدى المحكمة العسكرية في طهران المحاكمة المتعلقة بقضية اغتيال معارضين ايرانيين تتهم اجهزة استخبارات النظام الاسلامي بالتورط فيها.
11	Justice:Charge-Indict	49	طهران 12-25 (ا ف ب)- استؤنفت صباح اليوم الاثنين في جلسة مغلقة لدى المحكمة العسكرية في طهران المحاكمة المتعلقة بقضية اغتيال معارضين ايرانيين تتهم اجهزة استخبارات النظام الاسلامي بالتورط فيها.
12	Justice:Arrest-Jail	100	وكان القاضي امر خلال الجلسة الاولى السبت بسجن ثلاثة اشخاص يشتبه في انهم مرتكبي الاغتيالات الاساسيين.
13	Justice:Release-Parole	28	وكانت مجموعة من 14 محاميا بينهم سليمان دعت الى الافراج عنهم فورا ورفعت الى وزير العدل ملفا ينتقد الطريقة التي تم فيها اعتقال المعارضين.
14	Contact:Meet	190	وصل الزعيم الليبى معمر القذا في اليوم زيارته للأردن المحطة الثانية في جولة عربية يقوم بها وذكر أنها ترمي إلى إنعاش دور بلاده في منطقة الشرق الأوسط بعد سنوات من العزلة: التفاصيل في تقرير مراسلتنا في عمان جمانة التميمى زار العاهل الأردنى الملك عبدالله الثاني بن الحسين والزعيم الليبي العقيد معمر القذافي صباح الخميس موقع مشروع مياه الديسي ودشنا أحد آبار المشروع الذي سيأمن الاردن نحو 150 مليون متر مكعب من مياه الشرب سنويا وكان العقيد القذافي قد تعهد بالمساعدة في تنفيذ المشروع ومن المقرر لذلك أن يجري احتفال كبير في وسط العاصمة الأردنية عمان بعد ظهر الخميس للزعيم الليبي، وتجدر الاشارة إلى أن العاهل الأردني أجرى محادثات مع الزعيم الليبى يوم الاربعاء تناولت العديد من القضايا المتعلقة بالتطورات العربية والعلاقات الثنائية ونقل عن مصادر أردنية رسمية قولها أن الملك الأردني عبدالله والعقيد القذافي أدانا العدوان الإسرائيلي والشعب الفلسطيني وصفا أعمال العنف الغير مبررة والاستفزازية، كذلك يتضمن جدول الزيارة العقيد القذافي للأردن القاء كلمة أمام البرلمان الأردني يوم السبت وكان الزعيم الليبي قد وصل إلى مدينة العقبة الأردنية المطلة على البحر الأحمر يوم الأربعاء في زيارة تستغرق أربعة أيام وتعد أول زيارة من نوعها منذ 17 عاما، ومن المتوقع أن تؤدي تلك الزيارة إلى تطوير العلاقات الثنائية الأردنية الليبية وكان العاهل الاردنى عبد الله الثانى بن الحسين قد زار ليبيا مرتين منذ توليه مقاليد الحكم في شهر فبراير شباط من عام 1999 ويعد الأردن المحطة الثانية في جولة يقوم بها العقيد القذا في في المنطقة وبدأها بزيارة مصر حيث تركزت مباحثاته مع الرئيس المصري حسني مبارك على الأحداث الدموية التي تشهدها الأراضي الفلسطينية منذ أيام ومن المقرر أن يتوجه الزعيم الليبي بعد الأردن إلى سوريا ومن ثم إلى اليمن ومن المحتمل أن يزور السعودية وفيما أعلنت وكالة الأنباء الليبية الرسمية أن العقيد القذافي يسعى إلى تشجيع الدول العربية على إنشاء اتحاد عربي إفريقى أشارت التقارير الصحفية إلى أن جولة الزعيم الليبي ترمي إلى رفع دولة في بلاده في منطقة الشرق الأوسط بعد الأوسط بعد سنوات من العزلة ويذكر أن الامم المتحدة قررت في العام الماضي تعليق العقوبات التي فرضتها على ليبيا قبل أكثر من عشر سنوات وذلك بعد موافقة لبيا على تسليم مواطنين لبيين يشتبه في تورطهما ف ي يحادث تحطم الطائرة الأمريكية فوق برج لوكربي الاستكترندية عام 88 جمانة التميمي مكتتب صوت أمريكا الاقليمي عمان
15	Justice:Extradite	6	وصل الزعيم الليبى معمر القذا في اليوم زيارته للأردن المحطة الثانية في جولة عربية يقوم بها وذكر أنها ترمي إلى إنعاش دور بلاده في منطقة الشرق الأوسط بعد سنوات من العزلة: التفاصيل في تقرير مراسلتنا في عمان جمانة التميمى زار العاهل الأردنى الملك عبدالله الثاني بن الحسين والزعيم الليبي العقيد معمر القذافي صباح الخميس موقع مشروع مياه الديسي ودشنا أحد آبار المشروع الذي سيأمن الاردن نحو 150 مليون متر مكعب من مياه الشرب سنويا وكان العقيد القذافي قد تعهد بالمساعدة في تنفيذ المشروع ومن المقرر لذلك أن يجري احتفال كبير في وسط العاصمة الأردنية عمان بعد ظهر الخميس للزعيم الليبي، وتجدر الاشارة إلى أن العاهل الأردني أجرى محادثات مع الزعيم الليبى يوم الاربعاء تناولت العديد من القضايا المتعلقة بالتطورات العربية والعلاقات الثنائية ونقل عن مصادر أردنية رسمية قولها أن الملك الأردني عبدالله والعقيد القذافي أدانا العدوان الإسرائيلي والشعب الفلسطيني وصفا أعمال العنف الغير مبررة والاستفزازية، كذلك يتضمن جدول الزيارة العقيد القذافي للأردن القاء كلمة أمام البرلمان الأردني يوم السبت وكان الزعيم الليبي قد وصل إلى مدينة العقبة الأردنية المطلة على البحر الأحمر يوم الأربعاء في زيارة تستغرق أربعة أيام وتعد أول زيارة من نوعها منذ 17 عاما، ومن المتوقع أن تؤدي تلك الزيارة إلى تطوير العلاقات الثنائية الأردنية الليبية وكان العاهل الاردنى عبد الله الثانى بن الحسين قد زار ليبيا مرتين منذ توليه مقاليد الحكم في شهر فبراير شباط من عام 1999 ويعد الأردن المحطة الثانية في جولة يقوم بها العقيد القذا في في المنطقة وبدأها بزيارة مصر حيث تركزت مباحثاته مع الرئيس المصري حسني مبارك على الأحداث الدموية التي تشهدها الأراضي الفلسطينية منذ أيام ومن المقرر أن يتوجه الزعيم الليبي بعد الأردن إلى سوريا ومن ثم إلى اليمن ومن المحتمل أن يزور السعودية وفيما أعلنت وكالة الأنباء الليبية الرسمية أن العقيد القذافي يسعى إلى تشجيع الدول العربية على إنشاء اتحاد عربي إفريقى أشارت التقارير الصحفية إلى أن جولة الزعيم الليبي ترمي إلى رفع دولة في بلاده في منطقة الشرق الأوسط بعد الأوسط بعد سنوات من العزلة ويذكر أن الامم المتحدة قررت في العام الماضي تعليق العقوبات التي فرضتها على ليبيا قبل أكثر من عشر سنوات وذلك بعد موافقة لبيا على تسليم مواطنين لبيين يشتبه في تورطهما ف ي يحادث تحطم الطائرة الأمريكية فوق برج لوكربي الاستكترندية عام 88 جمانة التميمي مكتتب صوت أمريكا الاقليمي عمان
16	Personnel:Start-Position	41	في الاحتفالات التي نظمها اتحاد المصارف العربية في مناسبة اليوبيل الفضي لتأسيسه، كرَّم الاتحاد شخصيات مصرفية بارزة من اعضائه ومن المجتمع المصرفي العربي واعلن اختيار مجلس الادارة رئيسه محمود عبدالعزيز »الشخصية المصرفية العربية لعام ٠٠٠٢«
17	Contact:Phone-Write	48	وقال المصاب سليمان القمبيز في اتصال هاتفي مع وكالة فرانس برس انه كان يقطف الزيتون مع عمته شهيرة في حقل قريب من شارع صلاح الدين في مدينة رفح المصرية التي تبعد نحو 400 متر عن الحدود عندما اصيبا بالرصاص.
18	Conflict:Demonstrate	58	تظاهر في ليما عاصمة بيرو المئات من شباب الجماعات أمام القصر الجمهوري مطالبين الرئيس البرتو فوني موري بالاستقالة ومحاكمة رئيس المخابرات المتهم بإعطاء رشوة لأحد زعماء المعارضة للمساعدة في تزوير الانتخابات وطلب زعيم المعارضة يوخاندرو توريدو والعديد من زعماء المعارضة وأعضاء البرلمان طالبوا الرئيس فوني موري بالاستقالة فورا وتنفيذ ما وعد به من إجراء انتخابات مبكرة فورا كما طالب توريدو باستقالة الحكومة الحالية وتشكيل حكومة انتقالية للإشراف على انتخابات مبكرة ، في أول رد فعل على القبض
19	Business:End-Org	8	تظاهر في ليما عاصمة بيرو المئات من شباب الجماعات أمام القصر الجمهوري مطالبين الرئيس البرتو فوني موري بالاستقالة ومحاكمة رئيس المخابرات المتهم بإعطاء رشوة لأحد زعماء المعارضة للمساعدة في تزوير الانتخابات وطلب زعيم المعارضة يوخاندرو توريدو والعديد من زعماء المعارضة وأعضاء البرلمان طالبوا الرئيس فوني موري بالاستقالة فورا وتنفيذ ما وعد به من إجراء انتخابات مبكرة فورا كما طالب توريدو باستقالة الحكومة الحالية وتشكيل حكومة انتقالية للإشراف على انتخابات مبكرة ، في أول رد فعل على القبض
20	Justice:Convict	5	وكان شريف وستة اشخاص اخرين ادينوا في السادس من نيسان/ابريل الماضي بتعريض حياة اكثر من 200 شخص للخطر بمحاولتهم منع هبوط الطائرة القادمة من سريلانكا وعليها الجنرال برويز مشرف الذي كان شريف اقاله قبل ذلك بساعات من قيادة الجيش.
21	Life:Be-Born	5	"وقالت مهنا ""اذا حدثتهن عن التخطيط العائلي تأففن وقلن انهن يجب ان ينجبن اطفالا اكثر لكي تستمر الانتفاضة""."
22	Justice:Fine	27	وفرضت اللجنة غرامة مالية على لاتسيو قيمتها نحو 40 الف دولار بعد المقذوفات التي رمى بها الجمهور على اللاعبين والمسؤولين بالاضافة الى دور الارجنتينيين خوان سيباستيان فيرون وسيميوني في الاحداث التي وقعت بعد نهاية المباراة.
23	Justice:Acquit	3	وتمت تبرئة متهم خامس في الجيش الكويتي، بسبب افادات متناقضة للضحايا حول تورطه.
24	Life:Marry	16	هل حددت المطربة الأميركية مادونا، موعد عقد قرانها مع والد ابنها روكو، وفق طقوس ورموز يهودية؟ هذا على الأقل ما تدعيه الصحافة البريطانية التي يتوافد مراسلوها ومندوبو الصحافة الدولية الى شمال اسكوتلندا استعداداً لتغطية حفل الزواج، الذي سيكون أبرز حدث في بريطانيا في هذه الفترة من السنة والتي تتراجع فيها الأحداث الساخنة والمثيرة ويبدو أن مادونا الكاثوليكية المنشأ التي اختارت لابنتها الأولى اسم »لوورد«، تيمناً ببلدة لوورد الفرنسية التي يقوم فيها مزار ديني مشهور للسيدة العذراء التي تسمى سيدة لوورد، غلبت عليها المعتقدات اليهودية التي اعتنقتها ويأتي اختيار موعد زواجها في ٢٢ الشهر الجاري ليتصادف مع اليوم الأول من أعياد »شانوكاه« اليهودية التي تستمر سبعة أيام والتي تقام للاحتفال بالاضواء وسيقام حفل الزواج في قلعة سكيبو في بلدة دورنوك الصغيرة، في شمال اسكوتلندا، بعد يوم من تعميد مادونا ابنها روكو الذي يبلغ أربعة أشهر، في كاتدرائية البلدة، حيث ينتظر أن تشارك ملكة موسيقى البوب في الترتيل والانشاد ونسب الى المغنية الاميركية أنها دخلت في أجواء التصوف اليهودي وتعاليم القبالة اليهودية منذ ولادة ابنتها قبل أربع سنوات، متأثرة بمجموعة من أصدقائها، ومنهم المغنية برباره سترايسند وعارضة الأزياء السابقة جيري هال وكان قرار اجراء العملية القيصرية لإنجـاب ابنها روكو مرتبطاً على ما يبدو بمعتقدات القبالة التي تقول إن الطفل يجب أن يولد في اليوم الأول للشهر القمري، لدى ولادة الهلال وهي لذلك حددت موعداً مسبقاً في العيادة حيث ذهبت للخضوع للعملية القيصرية وستتولى الكاهنة سوزان براون تزويج مادونا من صديقها المخرج البريطاني غاي ريتشي، في حفل سيــكون هادئاً وخــالياً من مظاهر الأبهة ومن سيارات الليموزين التي منعت مادونا ضيوفها من الحـضور بها، وكذلك القبعات التي حظرتها مادونا باعتبارها دليلاً على التخلف ولا ترغب مادونا في أن يكون حفلها مشابهاً لحفل زواجها السابق عام ٥٨٩١ حينما طوقها الصحافيون ومصورو التلفزيون بطائرات الهليكوبتر وهي رفضت وخطيبها عروضاً من قبل مجلتين بريطانيتين للحصول على حق حصري لنشر صور حفل الزواج مقابل أي ثمن يرغبانه وأعلنا أنهما سينشران عقب حفل الزفاف صورة مجانية لكل من يرغب في رؤيتهما يتزوجان وقد تكون المعتقدات الصوفية اليهودية تؤثر على طريقة تفكير مادونا التي ترفض ديانتها الكاثوليكية على رغم تعميدها ابنها وطلبها قيام كاهنة مسيحية بعقد قرانها إلا أن ادعاء صحيفة الـ»صن« الشعبية البريطانية أمس أن مادونا ترغب في زواج ذي طابع بوذي، لا يفعل الا تأكيد كثرة اللغط الذي تثيره ملكة البوب الشقراء في الصحافة البريطانية
25	Transaction:Transfer-Ownership	8	لندن  رويترز  أعلن المعهد الدولي للدراسات الاستراتيجية في لندن امس، ان الشرق الاوسط كان اكثر مناطق العالم شراء للاسلحة خلال العام الماضي وذكر المعهد ان الانفاق العسكري في الشرق الاوسط حيث ارتفعت حدة التوترات الشهر الجاري بسبب الصراع بين اسرائيل والفلسطينيين، بلغ ٠٦ بليون دولار خلال العام الماضي اي من دون اي تغيير يذكر عن عام ٨٩٩١ وقال المعهد في تقرير سنوي عنوانه »التوازن العسكري« انه »في غياب حسم للتوترات القائمة في الشرق الاوسط وشمال افريقيا، ظلت المنطقة اكبر سوق للسلاح في العالم«       وذكر التقرير ان تجارة السلاح في العالم تدنت قليلاً العام الماضي، اذ قدرت قيمة المبيعات بنحو ٤،٣٥ بليون دولار انخفاضاً عن العام السابق الذي بلغت خلاله المبيعات ٨٥ بليون دولار تقريباً الا ان الانفاق العسكري لحكومات العالم خلال عام ٩٩٩١، ظل قريباً من مستويات عام ٨٩٩١، وبلغ ٩٠٨ بلايين دولار واضاف التقرير ان »الموازنات العسكرية المتوافرة لعام ٠٠٠٢، لا تظهر اي خفض إلا في غرب اوروبا«      وأوضح التقرير ان القوات المسلحة للولايات المتحدة ودول غرب اوروبا تنتشر في انحاء عدة من العالم بسبب التزامات في البلقان وافريقيا وآسيا، وذلك بعد فترة شهدت تقليصاً كبيراً للوجود العسكري وقال التقرير السنوي انه على رغم ارتفاع الانفاق العسكري الاميركي فإن الدول الاوروبية الاعضاء في حلف شمال الاطلسي، تواصل خفض انفاقها العسكري، ما عدا بريطانيا ورأى التقرير انه »من غير المؤكد ان يحقق الاوروبيون طموحهم بانشاء قوة مستقلة قوامها ٠٦ الف فرد« وسيكشف اجتماع وزراء دفاع دول الاتحاد الاوروبي الذي يعقد في نيس جنوب فرنسا في كانون الاول ديسمبر المقبل، مدى امكان انشاء هذه القوة بحلول عام ٣٠٠٢ واضاف التقرير »تشعر قوات حلف شمال الاطلسي في اوروبا بعبء ما يبدو كارتباط ممتد وطويل في كوسوفو« وقدر تقرير المعهد الدولي للدراسات الاستراتيجية ضحايا الصراعات المسلحة في شتى انحاء العالم العام الماضي، بحوالى ٤٩ ألف قتيل، ٠٦ في المئة منهم كانوا في جنوب الصحراء الافريقية وقدر عدد ضحايا الصراعات المسلحة في العالم عام ٨٩٩١ بما يقارب الـ٠١١ آلاف قتيل
26	Personnel:Nominate	5	استقال الرئيس المنتخب بوش من منصب حاكم ولاية تكساس لتشكيل حكومته والاستعداد لمنصب الرئاسة أنباء عن اشتباكات جديدة بين الفلسطينيين والإسرائيليين فيما تستمر محادثات حول السلام في واشنطن قال رئيس وزراء إسرائيل الأسبق شيمون بيريز إنه يريد أن يرشح نفسه لمنصب رئيس الوزراء في الانتخابات القادمة استعادت قوات الأمن التركية السيطرة على سجن في غربي تركيا بعد مقاومة عنيفة من السجناء يتباطأ معدل نمو الاقتصاد الأمريكي أمرت الحكمة العليا في زيمبابوي مرة أخرى الحكومة والسود بإنهاء حملة احتلال الأراضي
27	Life:Divorce	4	"واصدرت عائلة العنداري بيانا اوضحت فيه ان عاطف، الذي وضع غنوة وايناس في ميتم للطائفة الدرزية التي ينتمي اليها بعد ان طلق زوجته، قام بما قام به ""بدافع واقع انساني واقتصادي واجتماعي مر"" مشيرة الى ان عاطف الذي درج على استخدام الحبوب المهدئة بسبب اضطرابات نفسية غالبا ما هدد بالقيام بذلك دون ان يؤخذ على محمل الجد."
28	Justice:Sue	2	وأخبار الرابعة والعشرين تأتيكم بتقرير جديد من باريس حيث قضت محكمة فرنسية بإمكانية محاكمة الرئيس الليبي معمر القذاف ي فيما يتعلق بتفجير طائرة الركاب الفرنسية فوق دولة النيجر الأفريقية عام تس ع ة وثمانين مما أدى إلى مقتل مائة وسبعين شخصا ورفضت المحكمة حجة الإدعاء الحكومي بأن الرئيس الليبي القذاف ي يتمتع بحصانة لكونه رئيس دولة ومن جانبها أفادت الخارجية الفرنسية أن فرنسا ترغب في مواصلة تطبيع علاقاتها مع لبيبا رغم الملاحقات القضائية ضد الزعيم الليبي في سابقة هي الأولى في تاريخ القضاء الفرنسي قررت غرفة الاتهام في محكمة الاستئناف بباريس السماح لقاضي التحقيق فوجير بالتحقيق في شكوى قضائية قدمتها جمعية ضحايا الاعتداءات الإرهابية شكوى ضد الزعيم الليبي العقيد معمر القذاف ي في إطار قضية الاعتداء على طائرة التي أدى إلى انفجار الطائرة عام تسعة وثمانين فوق صحراء النيجر ومصرع ركابها المائة وسبعين الشكوى قدمت في يوليو الماضي وقرر قاضي التحقيق النظر فيها رسميا في أكتوبر من العام الماضي إلا أن النيابة استأنفت القرار بسبب التقديم القضائي الفرنسي الذي يحمي رؤساء الدول من الملاحقة أمام المحاكم الفرنسية وصف الاتهام في محكمة الاستئناف قررت في جلسة مغلقة أن هذا التخصيص لا ينطبق على الاعتداءات الإرهابية ومحامي جمع ية ضحايا الاعتداءات رمسيس سيزيني هو الذي أعلن القرار لدى خروجه من الجلسة ، المحكمة اعترفت بأن الحصانة الناتجة عن الحق العام وما إذا كانت لها قيمة قضائية لا تنطبق على أعمال مثل جرائم الإرهاب وهذا القرار بالنسبة لنا مرض جدا وأعربت رئيسة جمعية ضحايا الاعتداءات فرنسواز رودتكي عن ارتياحها معلنة عن التحرك المقبل الذي ستقوم به الجمعية ، سنقدم بيانات وأدلة إضافية إلى ملف التحقيق تثبت أنه أعطى أوامر وأن له ضلوع في هذه العملية التفجيرية كما سنطالب أيضا إرسال أمر قضائي بالاعتقال وإذا تم استثارته إلى مرسيليا سيكون يقضي بالضغط في اتجاه إلقاء القبض عليه
29	Justice:Pardon	2	"وكان حزب الله الشيعي اللبناني قد انتقد عدة مرات العقوبات ""المخففة"" التي تصدرها المحكمة فيما يطالب عدد من مسؤولي المعارضة باصدار عفو عن سكان المنطقة المحتلة السابقة لانهم ""تعاملوا مع اسرائيل بعد ان تخلت عنهم الدولة اللبنانية""."
30	Business:Declare-Bankruptcy	1	ويتهم المدعون الروس الاعلامي اليهودي باعتماد اساليب غير قانونية للحصول على قرض من شركة ,غاز بروم, الروسية العملاقة في مقابل  ممتلكات عائدة الى ,ميديا­ موست,, في الوقت الذي كانت المجموعة الاعلامية في حال افلاس.
